City,Street,Accident_Count
Aaronsburg, Penns Valley Rd,7
Aaronsburg, E Aaron Sq,4
Aaronsburg, W Aaron Sq,4
Aaronsburg,Penns Valley Rd,2
Aaronsburg, Tattletown Rd,1
Aaronsburg,Bower Hollow Rd,1
Aaronsburg,E Aaron Sq,1
Aaronsburg,Tattletown Rd,1
Abbeville,Highway 72 E,28
Abbeville,Highway 28 N,27
Abbeville,Highway 20,24
Abbeville,Highway 28 S,17
Abbeville,Highway 71,15
Abbeville, Highway 72 E,14
Abbeville, Highway 72 W,13
Abbeville,Highway 28 Byp,13
Abbeville, Highway 28 N,12
Abbeville,Highway 72 W,11
Abbotsford,WI-29 E,7
Abbotsford,State Highway 29,5
Abbotsford, State Highway 13,2
Abbotsford, N 4th St,1
Abbotsford,County Road F,1
Abbotsford,H3239 State Highway 29,1
Abbotsford,H3387 State Highway 29,1
Abbotsford,N14499 Badger Ave,1
Abbotsford,State Highway 13,1
Abbotsford,WI-29 W,1
Abbott,US-77 S,11
Abbott,Interstate 35,7
Abbott,I-35 N,5
Abbott,US-77 N,4
Abbott,I-35,2
Abbott,W Pine St,2
Abbott,I-35 S,1
Abbott,Ih 35 N Frontage Rd,1
Abbottstown,Lincoln Hwy,15
Abbottstown, Lincoln Hwy,14
Abbottstown,Moulstown Rd,13
Abbottstown, W King St,8
Abbottstown, N Queen St,6
Abbottstown, Center Sq,5
Abbottstown, S Queen St,5
Abbottstown, Shortcut Rd,4
Abbottstown, Pine Run Rd,3
Abbottstown, Route 194 N,3
Aberdeen,I-95 S,290
Aberdeen,I-95 N,238
Aberdeen,I-95,132
Aberdeen,Aberdeen Trwy,124
Aberdeen,John F Kennedy Memorial Hwy S,89
Aberdeen, S Philadelphia Blvd,40
Aberdeen,S Philadelphia Blvd,37
Aberdeen,Old Philadelphia Rd,26
Aberdeen,Olympic Hwy,26
Aberdeen, Olympic Hwy,24
Aberdeen Proving Ground, Research Blvd,1
Abernathy,County Road 275,2
Abernathy,I-27 N,2
Abernathy,Main St,1
Abilene,I-20,16
Abilene,I-20 E,10
Abilene,Portland Ave,9
Abilene,I-20 W,8
Abilene,Winters Fwy N,5
Abilene, S US Highway 83,4
Abilene,S 23rd St,4
Abilene,Winters Fwy S,4
Abilene, 1500 Ave,3
Abilene, County Road 228,3
Abingdon,I-81 N,211
Abingdon,I-95 S,188
Abingdon,I-81 S,162
Abingdon,I-95,115
Abingdon,I-81,82
Abingdon,John F Kennedy Memorial Hwy S,79
Abingdon,Vietnam Veterans Memorial Hwy,73
Abingdon,US-58,48
Abingdon,Lee Hwy,45
Abingdon,Abingdon Rd,39
Abington,York Rd,193
Abington, York Rd,142
Abington,Old York Rd,125
Abington,Susquehanna Rd,87
Abington,Bedford St,67
Abington, Easton Rd,61
Abington,Easton Rd,58
Abington, Susquehanna Rd,53
Abington,Edge Hill Rd,48
Abington,Horace Ave,46
Abiquiu,Road 1612,1
Abita Springs,10th St,1
Abita Springs,Highway 59,1
Abrams, Falk Rd,3
Abrams,Sampson Rd,1
Abrams,US-141 S,1
Abrams,US-41 N,1
Absarokee, Highway 78,6
Absarokee, Rosebud Cemetary Rd,2
Absarokee, S Woodard Ave,2
Absarokee, Stillwater River Rd,2
Absarokee, Arena Dr,1
Absarokee, E Grove St,1
Absarokee, N Woodard Ave,1
Absarokee, W Church St,1
Absarokee, W Grove St,1
Absarokee,MT-78,1
Absecon,Garden State Pkwy S,85
Absecon,Garden State Pkwy N,66
Absecon,Garden State Pkwy,32
Absecon, E Absecon Blvd,22
Absecon,W White Horse Pike,16
Absecon, White Horse Pike,9
Absecon,E Jimmie Leeds Rd,6
Absecon, W White Horse Pike,5
Absecon, N New York Rd,4
Absecon, S New Rd,3
Acampo,CA-99 N,268
Acampo,CA-99 S,244
Acampo,CA-99,89
Acampo, E Jahant Rd,43
Acampo, E Peltier Rd,40
Acampo, N Lower Sacramento Rd,37
Acampo,E Peltier Rd,34
Acampo, E Acampo Rd,29
Acampo,E Jahant Rd,28
Acampo, E Collier Rd,27
Accident,National Fwy,24
Accident, Garrett Hwy,11
Accident,Garrett Hwy,8
Accident,I-68 W,4
Accident, N Main St,3
Accident,I-68 E,3
Accident, Bumble Bee Rd,2
Accident, Sale Barn Rd,2
Accident, Aiken Miller Rd,1
Accident, Pine Ridge Rd,1
Accokeek, Indian Head Hwy,71
Accokeek,Berry Rd,69
Accokeek,Indian Head Hwy,59
Accokeek, Berry Rd,12
